Timestamp,Branch,Gender,Programme,year,How many hours of classes do you have in a week?,How frequently do you attend classes?,You are most likely to attend classes during,"How many courses do you have that has mandatory or random attendance, surprise quiz, marks on interaction etc?",How likely are you to attend 2 classes that has gap in between (say a class from 9am - 10am and 11am - 12-pm)?,How frequently have u attended classes before launching of attendance app?,How frequently have u attended classes after launching of attendance app?,When do you wake up usually(weekdays)?,"If your peers aren't attending a class, will you attend that class...If you have friends?",Do you care to attend classes after getting low score in exams?,What is your current CGPA? (ex. 7.73),No.of Courses,No of Classes
4/14/2024 13:13:12,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",4,5,5,5,8:00 am - 9:00 am,Yes,Yes,8,7,9
4/14/2024 13:16:06,EE/EP/ES/CO,Male,Bachelors,1st,<= 12 hours,Often,"Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,4,3,4,8:00 am - 9:00 am,No,Yes,8.9,4,6
4/14/2024 13:19:42,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,5,5,5,6:00 am - 7:00 am,Yes,Yes,7.5,6,9
4/14/2024 13:22:09,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,4th,<= 12 hours,Often,Morning (9am - 1pm),1,3,4,4,8:00 am - 9:00 am,Yes,Sometimes,9.37,4,6
4/14/2024 13:22:10,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,Afternoon(2:30 pm - 5:30 pm),2,1,2,1,8:00 am - 9:00 am,No,Sometimes,7.97,6,5
4/14/2024 13:23:24,CS/AI/MnC,Male,Bachelors,2nd,> 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Evening (5:30 pm or later)  :(",1,3,2,3,8:00 am - 9:00 am,No,Sometimes,9.47,6,5
4/14/2024 13:24:44,CS/AI/MnC,Male,Bachelors,1st,<= 12 hours,Often,Afternoon(2:30 pm - 5:30 pm),2,4,4,4,7:00 am - 8:00 am,Yes,Yes,9.82,4,6
4/14/2024 13:24:47,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",4,4,5,5,8:00 am - 9:00 am,Yes,Yes,7.8,6,9
4/14/2024 13:29:19,CS/AI/MnC,Male,Bachelors,3rd,> 12 hours,Between Rarely and Often,"Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",4,1,2,3,9:00 am - 10:00 am,Yes,Sometimes,7.67,6,5
4/14/2024 13:36:28,ME/CH(IC)/CE/MS/BT/BM,Female,Research,1st,<= 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",1,5,4,2,7:00 am - 8:00 am,No,No,7.5,4,9
4/14/2024 13:36:34,CS/AI/MnC,Male,Bachelors,1st,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,5,3,3,8:00 am - 9:00 am,No,Yes,9.3,4,5
4/14/2024 13:40:20,CS/AI/MnC,Female,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",10,5,5,5,After 10:00 am,Yes,No,6.69,6,9
4/14/2024 13:46:51,EE/EP/ES/CO,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),5,5,4,5,8:00 am - 9:00 am,Yes,Yes,9.59,6,9
4/14/2024 13:51:58,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,1st,<= 12 hours,Between Rarely and Often,"Morning (9am - 1pm), Evening (5:30 pm or later)  :(",2,2,2,2,8:00 am - 9:00 am,No,Sometimes,7.9,4,5
4/14/2024 13:52:49,EE/EP/ES/CO,Female,Masters,1st,<= 12 hours,Almost every class(Lol..Prodigy),Afternoon(2:30 pm - 5:30 pm),2,2,5,5,6:00 am - 7:00 am,No,No,7.777316238,4,9
4/14/2024 13:53:29,ME/CH(IC)/CE/MS/BT/BM,Male,Bachelors,2nd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",5,5,4,5,7:00 am - 8:00 am,Yes,Yes,9,6,9
4/14/2024 13:59:18,CS/AI/MnC,Male,Bachelors,1st,<= 12 hours,Rarely,Afternoon(2:30 pm - 5:30 pm),3,4,1,1,8:00 am - 9:00 am,Yes,Yes,9.4,4,3
4/14/2024 13:59:23,CS/AI/MnC,Female,Bachelors,3rd,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,4,5,5,7:00 am - 8:00 am,Yes,Yes,7.69,6,8
4/14/2024 14:01:34,CS/AI/MnC,Male,Masters,1st,<= 12 hours,Between Rarely and Often,"Afternoon(2:30 pm - 5:30 pm), Evening (5:30 pm or later)  :(",2,3,3,3,7:00 am - 8:00 am,Yes,Sometimes,6.5,4,5
4/14/2024 14:07:38,CS/AI/MnC,Male,Bachelors,3rd,> 12 hours,Rarely,"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",2,1,1,5,After 10:00 am,No,No,7.74,6,3
4/14/2024 14:07:44,CS/AI/MnC,Male,Bachelors,1st,<= 12 hours,Between Rarely and Often,Morning (9am - 1pm),1,3,4,5,8:00 am - 9:00 am,No,Yes,9.38,4,5
4/14/2024 14:08:17,CS/AI/MnC,Male,Bachelors,1st,> 12 hours,Almost every class(Lol..Prodigy),"Morning (9am - 1pm), Afternoon(2:30 pm - 5:30 pm)",3,5,5,5,7:00 am - 8:00 am,Yes,Yes,8.8,6,8
4/14/2024 14:22:17,EE/EP/ES/CO,Female,Bachelors,1st,<= 12 hours,Almost every class(Lol..Prodigy),Morning (9am - 1pm),3,3,5,5,8:00 am - 9:00 am,Yes,Yes,8.75,4,8
